Time Temp Pressure Humidity Sensor1 Sensor2 Sensor3
12:30:45:100000 23.5 101.3 45.6 100.1 200.2 300.1
12:30:45:200000 23.6 101.4 45.7 100.2 200.3 300.2
12:30:45:300000 23.7 101.5 45.8 100.3 200.4 300.3
12:30:45:400000 23.8 101.6 45.9 100.3 200.4 300.3
12:30:45:500000 23.9 101.7 46 100.4 200.5 300.4
12:30:45:600000 24 101.8 46.1 100.5 200.6 300.5
12:30:45:700000 24.1 101.9 46.2 100.6 200.7 300.6
12:30:45:800000 24.2 102 46.3 100.6 200.7 300.6
12:30:45:900000 24.3 102.1 46.4 100.7 200.8 300.7
12:30:46:000000 24.4 102.2 46.5 100.7 200.8 300.7
